date,variable,state_code,value
2020-11-28,mask_requirement,Nebraska,8667.7353515625
2020-11-28,no_mask_requirement,Michigan,5224.10009765625
2020-11-28,no_mask_requirement,Mississippi,3099.284423828125
2020-11-28,no_mask_requirement,Nebraska,8669.3447265625
2020-11-29,mask_requirement,Michigan,5027.8076171875
2020-11-29,mask_requirement,Mississippi,2757.690185546875
2020-11-29,mask_requirement,Nebraska,8633.3203125
2020-11-29,no_mask_requirement,Michigan,5308.46044921875
2020-11-29,no_mask_requirement,Mississippi,3062.3740234375
2020-11-29,no_mask_requirement,Nebraska,8566.57421875
2020-11-30,mask_requirement,Michigan,5051.048828125
2020-11-30,mask_requirement,Mississippi,2790.772216796875
2020-11-30,mask_requirement,Nebraska,8537.0146484375
2020-11-30,no_mask_requirement,Michigan,5337.2822265625
2020-11-30,no_mask_requirement,Mississippi,3101.019287109375
2020-11-30,no_mask_requirement,Nebraska,8624.4599609375
2020-12-01,mask_requirement,Michigan,4988.33251953125
2020-12-01,mask_requirement,Mississippi,2883.676513671875
2020-12-01,mask_requirement,Nebraska,7874.18505859375
2020-12-01,no_mask_requirement,Michigan,5350.93798828125
2020-12-01,no_mask_requirement,Mississippi,3200.70166015625
2020-12-01,no_mask_requirement,Nebraska,7885.51318359375
2020-12-02,mask_requirement,Michigan,4949.51806640625
2020-12-02,mask_requirement,Mississippi,3018.0048828125
2020-12-02,mask_requirement,Nebraska,7689.83740234375
2020-12-02,no_mask_requirement,Michigan,5334.36669921875
2020-12-02,no_mask_requirement,Mississippi,3342.935302734375
2020-12-02,no_mask_requirement,Nebraska,7591.69384765625
2020-12-03,mask_requirement,Michigan,4932.53515625
2020-12-03,mask_requirement,Mississippi,3258.080322265625
2020-12-03,mask_requirement,Nebraska,7468.423828125
2020-12-03,no_mask_requirement,Michigan,5275.8134765625
2020-12-03,no_mask_requirement,Mississippi,3535.941650390625
2020-12-03,no_mask_requirement,Nebraska,7466.9501953125
2020-12-04,mask_requirement,Michigan,4859.4521484375
2020-12-04,mask_requirement,Mississippi,3295.620361328125
2020-12-04,mask_requirement,Nebraska,7362.63671875
2020-12-04,no_mask_requirement,Michigan,5063.9638671875
2020-12-04,no_mask_requirement,Mississippi,3551.62841796875
2020-12-04,no_mask_requirement,Nebraska,7241.96630859375
