"","Delaware.week","Delaware.total_sequences","Delaware.20I..Alpha..V1.","Delaware.20H..Beta..V2.","Delaware.20J..Gamma..V3.","Delaware.21A..Delta.","Delaware.21I..Delta.","Delaware.21J..Delta.","Delaware.21K..Omicron.","Delaware.21L..Omicron.","Delaware.22B..Omicron.","Delaware.22C..Omicron.","Delaware.21B..Kappa.","Delaware.21D..Eta.","Delaware.21F..Iota.","Delaware.21G..Lambda.","Delaware.21H..Mu.","Delaware.20B.S.732A","Delaware.21C..Epsilon.","Delaware.S.677H.Robin1","Delaware.S.677P.Pelican","Delaware.20G.S.677H.Robin2","Delaware.20G.S.677H.Bluebird","Delaware.20G.S.677H.Mockingbird"
"22","2021-02-22",92,4,1,0,0,0,0,0,0,0,0,0,0,19,0,0,2,5,2,0,5,0,0
"23","2021-03-08",58,10,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,4,0,0,2,0,0
"24","2021-03-22",224,84,0,2,0,0,0,0,0,0,0,1,0,72,0,0,1,3,0,0,3,0,0
"25","2021-04-05",421,277,0,14,0,0,0,0,0,0,0,0,0,86,0,0,2,4,0,0,0,0,0
"26","2021-04-19",336,227,0,12,0,1,1,0,0,0,0,0,0,68,0,0,0,1,0,0,0,0,0
"27","2021-05-03",150,110,0,9,3,1,2,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0
"28","2021-05-17",180,128,0,18,0,0,5,0,0,0,0,0,0,14,1,3,0,0,0,0,0,0,0
"29","2021-05-31",50,29,0,5,5,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"30","2021-06-14",34,16,0,1,7,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"31","2021-06-28",46,3,0,3,3,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","2021-07-12",111,4,0,2,15,18,69,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"33","2021-07-26",323,2,0,0,38,51,227,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"34","2021-08-09",667,1,0,1,48,122,494,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"35","2021-08-23",789,0,0,0,55,89,644,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"36","2021-09-06",917,0,0,1,23,76,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",821,0,0,0,16,33,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",621,0,0,0,3,37,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",490,0,0,0,1,27,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",473,0,0,0,0,14,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",501,0,0,0,0,8,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",635,0,0,0,1,8,623,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",474,0,0,0,0,7,231,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",1766,0,0,0,0,0,86,1678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",1252,0,0,0,0,0,27,1223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",464,0,0,0,0,0,4,457,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",312,0,0,0,0,0,2,309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",150,0,0,0,0,0,1,128,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",153,0,0,0,0,0,0,101,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",118,0,0,0,0,0,0,28,84,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",114,0,0,0,0,0,0,11,90,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",195,0,0,0,0,0,0,5,126,0,63,0,0,0,0,0,0,0,0,0,0,0,0
"53","2022-05-02",43,0,0,0,0,0,0,0,23,1,19,0,0,0,0,0,0,0,0,0,0,0,0
