"","New.Mexico.week","New.Mexico.total_sequences","New.Mexico.20I..Alpha..V1.","New.Mexico.20H..Beta..V2.","New.Mexico.20J..Gamma..V3.","New.Mexico.21A..Delta.","New.Mexico.21I..Delta.","New.Mexico.21J..Delta.","New.Mexico.21K..Omicron.","New.Mexico.21L..Omicron.","New.Mexico.22C..Omicron.","New.Mexico.21D..Eta.","New.Mexico.21F..Iota.","New.Mexico.21G..Lambda.","New.Mexico.21H..Mu.","New.Mexico.20B.S.732A","New.Mexico.21C..Epsilon.","New.Mexico.20A.S.439K","New.Mexico.S.677H.Robin1","New.Mexico.S.677P.Pelican","New.Mexico.20A.EU2","New.Mexico.20A.S.98F","New.Mexico.20G.S.677H.Robin2","New.Mexico.20G.S.677H.Yellowhammer","New.Mexico.20G.S.677H.Quail","New.Mexico.20G.S.677H.Mockingbird"
"26","2021-04-19",429,294,0,14,0,1,3,0,0,0,0,20,0,0,25,15,0,0,0,0,0,0,0,0,0
"27","2021-05-03",473,313,0,19,7,9,0,0,0,0,0,41,1,1,18,16,0,0,0,0,0,0,0,0,0
"28","2021-05-17",273,217,2,11,2,4,1,0,0,0,0,12,0,1,4,1,0,0,0,0,0,0,0,0,0
"29","2021-05-31",304,202,0,7,0,17,21,0,0,0,0,24,3,15,3,0,0,0,0,0,0,0,0,0,0
"30","2021-06-14",225,116,0,13,3,18,45,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0
"31","2021-06-28",281,67,0,8,6,29,154,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0
"32","2021-07-12",559,13,2,9,34,56,420,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0
"33","2021-07-26",856,5,0,9,25,113,696,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"34","2021-08-09",1256,3,0,1,34,148,1068,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"35","2021-08-23",1194,0,0,0,27,146,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-06",1041,0,0,0,24,109,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",1291,0,0,0,20,78,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",1175,0,0,0,7,102,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",1547,0,0,0,31,80,1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",1987,0,0,0,28,55,1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",1767,0,0,0,17,35,1706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",1979,0,0,0,21,39,1912,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",1145,0,0,0,10,19,953,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",1958,0,0,0,1,5,411,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",2017,0,0,0,0,0,67,1949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",1593,0,0,0,0,0,12,1575,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",1158,0,0,0,0,0,1,1152,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",474,0,0,0,0,0,2,464,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",364,0,0,0,0,0,0,338,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",225,0,0,0,0,0,0,149,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",238,0,0,0,0,0,0,89,135,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",167,0,0,0,0,0,0,19,112,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
