"","Iowa.week","Iowa.total_sequences","Iowa.20I..Alpha..V1.","Iowa.20H..Beta..V2.","Iowa.20J..Gamma..V3.","Iowa.21A..Delta.","Iowa.21I..Delta.","Iowa.21J..Delta.","Iowa.21K..Omicron.","Iowa.21L..Omicron.","Iowa.22A..Omicron.","Iowa.22B..Omicron.","Iowa.22C..Omicron.","Iowa.21D..Eta.","Iowa.21F..Iota.","Iowa.21G..Lambda.","Iowa.21H..Mu.","Iowa.20B.S.732A","Iowa.21C..Epsilon.","Iowa.S.677H.Robin1","Iowa.S.677P.Pelican","Iowa.20G.S.677H.Robin2","Iowa.20G.S.677H.Bluebird","Iowa.20G.S.677H.Quail"
"17","2020-12-07",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","2020-12-21",34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"19","2021-01-11",47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,2
"20","2021-01-25",51,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,0,2,0,0
"21","2021-02-08",69,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,6,5,0,0,0,0
"22","2021-02-22",194,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,10,14,0,0,0,0
"23","2021-03-08",213,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46,11,14,1,0,0,0
"24","2021-03-22",355,206,0,4,0,0,0,0,0,0,0,0,1,7,0,0,24,45,13,1,0,0,0
"25","2021-04-05",311,211,0,12,2,0,0,0,0,0,0,0,0,6,0,0,22,28,2,0,0,0,0
"26","2021-04-19",285,228,0,17,1,0,1,0,0,0,0,0,0,10,0,0,7,8,0,0,0,0,0
"27","2021-05-03",265,208,0,22,1,0,4,0,0,0,0,0,0,10,1,1,3,7,0,0,0,0,0
"28","2021-05-17",240,166,1,33,0,0,29,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0
"29","2021-05-31",146,67,0,23,3,0,51,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"30","2021-06-14",156,29,0,9,7,3,98,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"31","2021-06-28",385,42,0,7,9,17,300,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"32","2021-07-12",728,21,0,0,28,34,628,0,0,0,0,0,0,1,4,10,0,0,0,0,0,0,0
"33","2021-07-26",752,5,0,0,36,50,659,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"34","2021-08-09",860,0,0,2,19,46,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-08-23",1093,2,0,0,16,57,1016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"36","2021-09-06",1135,0,0,0,6,42,1084,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"37","2021-09-20",1007,0,0,0,12,32,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",954,0,0,0,5,28,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",854,0,0,0,2,31,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",970,0,0,0,0,22,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",787,0,0,0,0,16,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",702,0,0,0,0,13,679,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",583,0,0,0,0,15,467,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",614,0,0,0,0,2,156,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",1010,0,0,0,0,2,39,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",686,0,0,0,0,0,5,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",629,0,0,0,0,0,0,625,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",308,0,0,0,0,0,2,292,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",152,0,0,0,0,0,0,133,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",139,0,0,0,0,0,0,71,65,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",170,0,0,0,0,0,0,18,101,0,0,50,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",317,0,0,0,0,0,0,19,176,0,0,122,0,0,0,0,0,0,0,0,0,0,0
"53","2022-05-02",60,0,0,0,0,0,0,1,34,2,1,22,0,0,0,0,0,0,0,0,0,0,0
