"","Louisiana.week","Louisiana.total_sequences","Louisiana.20I..Alpha..V1.","Louisiana.20J..Gamma..V3.","Louisiana.21A..Delta.","Louisiana.21I..Delta.","Louisiana.21J..Delta.","Louisiana.21K..Omicron.","Louisiana.21L..Omicron.","Louisiana.22A..Omicron.","Louisiana.22B..Omicron.","Louisiana.22C..Omicron.","Louisiana.21D..Eta.","Louisiana.21F..Iota.","Louisiana.21G..Lambda.","Louisiana.21H..Mu.","Louisiana.20B.S.732A","Louisiana.20E..EU1.","Louisiana.21C..Epsilon.","Louisiana.S.677H.Robin1","Louisiana.S.677P.Pelican","Louisiana.20G.S.677H.Robin2","Louisiana.20G.S.677H.Yellowhammer","Louisiana.20G.S.677H.Heron","Louisiana.20G.S.677H.Mockingbird"
"11","2020-09-14",160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-10-26",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"15","2020-11-09",81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"16","2020-11-23",141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,20,1
"17","2020-12-07",336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160,1,0,12,2
"18","2020-12-21",344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,39,1,0,16,7
"19","2021-01-11",353,8,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,4,5,23,6,0,3,8
"20","2021-01-25",254,26,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,4,2,6,3,0,0,1
"21","2021-02-08",234,38,0,0,0,0,0,0,0,0,0,0,1,0,0,61,0,14,1,3,9,0,0,0
"22","2021-02-22",255,64,0,0,0,0,0,0,0,0,0,0,4,0,0,43,0,22,1,8,7,0,0,1
"23","2021-03-08",190,81,0,0,0,0,0,0,0,0,0,0,5,0,0,23,0,15,0,1,1,1,0,1
"24","2021-03-22",132,87,0,0,0,0,0,0,0,0,0,1,6,0,0,13,0,3,0,0,0,0,0,0
"25","2021-04-05",220,156,10,0,0,0,0,0,0,0,0,0,20,0,0,2,0,4,0,0,0,0,0,0
"26","2021-04-19",176,152,5,0,0,0,0,0,0,0,0,1,8,0,0,0,0,2,0,0,0,0,0,0
"27","2021-05-03",174,149,4,3,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0
"28","2021-05-17",126,114,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0
"29","2021-05-31",164,136,10,3,2,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"30","2021-06-14",160,107,9,3,1,31,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0
"31","2021-06-28",471,115,6,13,27,298,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0
"32","2021-07-12",1492,87,6,34,114,1232,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0
"33","2021-07-26",3121,57,4,63,269,2717,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"34","2021-08-09",2361,15,0,30,188,2126,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"35","2021-08-23",1535,3,0,22,89,1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
