"","Missouri.week","Missouri.total_sequences","Missouri.20I..Alpha..V1.","Missouri.20H..Beta..V2.","Missouri.20J..Gamma..V3.","Missouri.21A..Delta.","Missouri.21I..Delta.","Missouri.21J..Delta.","Missouri.21K..Omicron.","Missouri.21L..Omicron.","Missouri.22A..Omicron.","Missouri.22B..Omicron.","Missouri.22C..Omicron.","Missouri.21B..Kappa.","Missouri.21F..Iota.","Missouri.21G..Lambda.","Missouri.21H..Mu.","Missouri.20B.S.732A","Missouri.21C..Epsilon.","Missouri.S.677H.Robin1","Missouri.S.677P.Pelican","Missouri.20G.S.677H.Robin2","Missouri.20G.S.677H.Yellowhammer","Missouri.20G.S.677H.Bluebird","Missouri.20G.S.677H.Quail"
"41","2021-11-15",850,0,0,0,0,13,833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",1059,0,0,0,0,13,1039,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",1301,0,0,0,0,18,938,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",1660,0,0,0,0,10,376,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",1494,0,0,0,0,1,51,1438,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",1086,0,0,0,0,0,10,1066,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",794,0,0,0,0,0,1,762,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",335,0,0,0,0,0,1,295,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",179,0,0,0,0,0,0,119,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",149,0,0,0,0,0,0,49,97,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",246,0,0,0,0,0,0,27,193,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",347,0,0,0,0,0,0,6,267,1,0,73,0,0,0,0,0,0,0,0,0,0,0,0
"53","2022-05-02",22,0,0,0,0,0,0,0,14,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0
