"","Maine.week","Maine.total_sequences","Maine.20I..Alpha..V1.","Maine.20H..Beta..V2.","Maine.20J..Gamma..V3.","Maine.21A..Delta.","Maine.21I..Delta.","Maine.21J..Delta.","Maine.21K..Omicron.","Maine.21L..Omicron.","Maine.22A..Omicron.","Maine.22C..Omicron.","Maine.21D..Eta.","Maine.21F..Iota.","Maine.21G..Lambda.","Maine.21H..Mu.","Maine.20B.S.732A","Maine.20E..EU1.","Maine.21C..Epsilon.","Maine.S.677H.Robin1","Maine.S.677P.Pelican","Maine.20A.EU2","Maine.20G.S.677H.Robin2","Maine.20G.S.677H.Yellowhammer","Maine.20G.S.677R.Roadrunner","Maine.20G.S.677H.Bluebird","Maine.20G.S.677H.Quail"
"13","2020-12-21",518,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,0
"14","2021-01-11",339,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,2,0,9,1,0
"15","2021-01-25",294,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,20,2,0,1,1,0,17,6,0
"16","2021-02-08",195,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,0,1,0,1,0,7,2,0
"17","2021-02-22",337,8,4,1,0,0,0,0,0,0,0,1,5,0,0,4,0,30,6,1,0,0,0,1,4,0
"18","2021-03-08",329,32,1,0,0,0,0,0,0,0,0,2,34,0,0,1,0,31,3,0,0,0,0,0,0,0
"19","2021-03-22",467,75,0,15,0,0,0,0,0,0,0,0,73,0,0,1,0,38,6,0,0,0,0,0,0,1
"20","2021-04-05",657,205,3,30,0,0,0,0,0,0,0,0,168,0,0,3,0,28,24,1,0,0,0,0,0,2
"21","2021-04-19",588,234,0,34,1,1,0,0,0,0,0,0,204,1,0,0,0,10,2,0,0,2,1,1,0,0
"22","2021-05-03",732,298,0,43,1,1,0,0,0,0,0,0,250,0,0,0,0,8,7,0,0,2,0,0,0,0
"23","2021-05-17",511,223,0,13,0,0,3,0,0,0,0,0,144,1,6,0,0,2,3,0,0,1,0,0,0,0
"24","2021-05-31",234,73,0,8,0,0,1,0,0,0,0,0,62,0,35,0,0,0,0,0,0,0,0,0,0,0
"25","2021-06-14",110,23,0,5,0,2,5,0,0,0,0,0,28,0,31,0,0,0,0,0,0,0,0,0,0,0
"26","2021-06-28",98,10,0,3,4,3,29,0,0,0,0,0,16,0,19,0,0,0,0,0,0,0,0,0,0,0
"27","2021-07-12",225,2,0,2,33,26,156,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
"28","2021-07-26",578,2,0,2,32,69,460,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0
"29","2021-08-09",838,6,0,9,13,85,711,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,1
"30","2021-08-23",439,1,0,0,7,52,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","2021-09-06",546,0,0,0,1,75,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","2021-09-20",580,0,0,0,4,42,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","2021-10-04",613,0,0,0,15,34,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-10-18",679,0,0,0,7,30,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-11-01",701,0,0,0,1,31,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-11-15",603,0,0,0,4,24,571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-11-29",543,0,0,0,3,12,518,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-12-13",403,0,0,0,0,2,335,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-12-27",538,0,0,0,0,3,132,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2022-01-10",757,0,0,0,0,0,16,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2022-01-24",551,0,0,0,0,2,4,544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2022-02-07",561,0,0,0,0,0,25,530,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2022-02-21",347,0,0,0,0,0,4,321,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2022-03-07",295,0,0,0,0,0,0,231,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-03-21",217,0,0,0,0,0,1,84,124,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-04-04",236,0,0,0,0,0,0,51,140,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-04-18",223,0,0,0,0,0,0,14,95,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-05-02",144,0,0,0,0,0,0,0,32,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
