"","Puerto.Rico.week","Puerto.Rico.total_sequences","Puerto.Rico.20I..Alpha..V1.","Puerto.Rico.20H..Beta..V2.","Puerto.Rico.20J..Gamma..V3.","Puerto.Rico.21A..Delta.","Puerto.Rico.21I..Delta.","Puerto.Rico.21J..Delta.","Puerto.Rico.21K..Omicron.","Puerto.Rico.21L..Omicron.","Puerto.Rico.22C..Omicron.","Puerto.Rico.21D..Eta.","Puerto.Rico.21F..Iota.","Puerto.Rico.21G..Lambda.","Puerto.Rico.21H..Mu.","Puerto.Rico.20B.S.732A","Puerto.Rico.21C..Epsilon.","Puerto.Rico.S.677H.Robin1","Puerto.Rico.20G.S.677H.Robin2","Puerto.Rico.20G.S.677H.Bluebird","Puerto.Rico.20G.S.677H.Quail"
"28","2021-06-28",137,4,0,6,18,17,76,0,0,0,0,3,0,10,0,0,0,0,0,0
"29","2021-07-12",338,1,0,3,28,55,236,0,0,0,0,1,1,6,0,0,0,0,0,0
"30","2021-07-26",455,3,0,1,18,72,357,0,0,0,0,0,0,3,0,0,0,0,0,0
"31","2021-08-09",700,0,0,0,23,68,608,0,0,0,0,0,1,0,0,0,0,0,0,0
"32","2021-08-23",559,0,0,1,6,42,503,0,0,0,0,0,0,1,0,0,0,0,0,0
"33","2021-09-06",435,0,0,0,12,38,384,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-09-20",182,0,0,2,1,21,158,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-10-04",96,0,0,0,0,9,86,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-10-18",82,0,0,0,0,6,76,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-11-01",169,0,0,0,0,4,164,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-11-15",91,0,0,0,1,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-11-29",80,0,0,0,0,0,64,16,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-12-13",663,0,0,0,0,0,29,632,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-12-27",734,0,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0,0,0,0
"42","2022-01-10",492,0,0,0,0,0,0,489,2,0,0,0,0,0,0,0,0,0,0,0
"43","2022-01-24",420,0,0,0,0,0,0,419,1,0,0,0,0,0,0,0,0,0,0,0
"44","2022-02-07",287,0,0,0,0,0,1,283,2,0,0,0,0,0,0,0,0,0,0,0
"45","2022-02-21",112,0,0,0,0,0,0,100,12,0,0,0,0,0,0,0,0,0,0,0
"46","2022-03-07",127,0,0,0,0,0,0,70,57,0,0,0,0,0,0,0,0,0,0,0
"47","2022-03-21",112,0,0,0,0,0,0,35,74,3,0,0,0,0,0,0,0,0,0,0
"48","2022-04-04",136,0,0,0,0,0,0,20,109,7,0,0,0,0,0,0,0,0,0,0
"49","2022-04-18",12,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0
"50","2022-05-02",7,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0
