"","Oregon.week","Oregon.total_sequences","Oregon.20I..Alpha..V1.","Oregon.20H..Beta..V2.","Oregon.20J..Gamma..V3.","Oregon.21A..Delta.","Oregon.21I..Delta.","Oregon.21J..Delta.","Oregon.21K..Omicron.","Oregon.21L..Omicron.","Oregon.22A..Omicron.","Oregon.22C..Omicron.","Oregon.21D..Eta.","Oregon.21F..Iota.","Oregon.21G..Lambda.","Oregon.21H..Mu.","Oregon.20B.S.732A","Oregon.20E..EU1.","Oregon.21C..Epsilon.","Oregon.20A.S.439K","Oregon.S.677H.Robin1","Oregon.S.677P.Pelican","Oregon.20A.EU2","Oregon.20A.S.98F","Oregon.20G.S.677H.Robin2","Oregon.20G.S.677H.Yellowhammer","Oregon.20G.S.677R.Roadrunner","Oregon.20G.S.677H.Quail","Oregon.20G.S.677H.Mockingbird"
"40","2021-11-01",1556,0,0,0,22,42,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",1431,0,0,0,20,52,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",1279,0,0,0,7,32,1230,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",892,0,0,0,3,3,466,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",2983,0,0,0,1,4,208,2768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",3609,0,0,0,0,2,68,3535,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",1883,0,0,0,0,0,10,1863,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",1255,0,0,0,0,0,2,1226,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",719,0,0,0,0,0,1,664,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",374,0,0,0,0,0,0,286,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",413,0,0,0,0,0,0,120,286,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",612,0,0,0,0,0,0,66,526,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",453,0,0,0,0,0,0,16,392,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","2022-05-02",256,0,0,0,0,0,0,3,189,6,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
