"","Oklahoma.week","Oklahoma.total_sequences","Oklahoma.20I..Alpha..V1.","Oklahoma.20H..Beta..V2.","Oklahoma.20J..Gamma..V3.","Oklahoma.21A..Delta.","Oklahoma.21I..Delta.","Oklahoma.21J..Delta.","Oklahoma.21K..Omicron.","Oklahoma.21L..Omicron.","Oklahoma.22B..Omicron.","Oklahoma.22C..Omicron.","Oklahoma.21B..Kappa.","Oklahoma.21D..Eta.","Oklahoma.21F..Iota.","Oklahoma.21G..Lambda.","Oklahoma.21H..Mu.","Oklahoma.20B.S.732A","Oklahoma.21C..Epsilon.","Oklahoma.S.677H.Robin1","Oklahoma.S.677P.Pelican","Oklahoma.20G.S.677H.Robin2","Oklahoma.20G.S.677H.Yellowhammer","Oklahoma.20G.S.677H.Mockingbird"
"31","2021-08-23",328,0,0,0,5,22,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","2021-09-06",389,0,0,0,6,23,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","2021-09-20",248,0,0,0,1,17,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-10-04",242,0,0,0,0,14,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-10-18",171,0,0,0,0,7,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-11-01",143,0,0,0,0,2,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-11-15",153,0,0,0,0,4,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-11-29",100,0,0,0,0,3,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-12-13",117,0,0,0,0,1,81,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-12-27",210,0,0,0,0,1,26,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2022-01-10",781,0,0,0,0,0,14,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2022-01-24",352,0,0,0,0,0,3,348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2022-02-07",112,0,0,0,0,0,0,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2022-02-21",39,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-03-07",15,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-03-21",21,0,0,0,0,0,0,9,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-04-04",19,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-04-18",28,0,0,0,0,0,0,1,19,0,8,0,0,0,0,0,0,0,0,0,0,0,0
