"","Washington.week","Washington.total_sequences","Washington.20I..Alpha..V1.","Washington.20H..Beta..V2.","Washington.20J..Gamma..V3.","Washington.21A..Delta.","Washington.21I..Delta.","Washington.21J..Delta.","Washington.21K..Omicron.","Washington.21L..Omicron.","Washington.22A..Omicron.","Washington.22B..Omicron.","Washington.22C..Omicron.","Washington.21B..Kappa.","Washington.21D..Eta.","Washington.21F..Iota.","Washington.21G..Lambda.","Washington.21H..Mu.","Washington.20B.S.732A","Washington.20E..EU1.","Washington.21C..Epsilon.","Washington.20A.S.439K","Washington.S.677H.Robin1","Washington.S.677P.Pelican","Washington.20G.S.677H.Robin2","Washington.20G.S.677H.Yellowhammer","Washington.20G.S.677H.Quail","Washington.20G.S.677H.Mockingbird"
"41","2021-11-15",2026,0,0,0,22,66,1936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",3185,0,0,0,16,66,2801,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",3579,0,0,0,5,24,1053,2495,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",6168,0,0,0,0,10,243,5907,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",4692,0,0,0,2,2,56,4598,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",2718,0,0,0,0,5,15,2669,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",3099,0,0,0,0,0,0,2964,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",2002,0,0,0,0,0,4,1700,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",1324,0,0,0,0,0,0,769,549,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",2314,0,0,0,0,0,0,449,1844,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",2355,0,0,0,0,0,0,159,2115,1,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",2911,0,0,0,0,0,0,47,2571,1,1,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","2022-05-02",952,0,0,0,0,0,0,4,748,0,5,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
