"","Virginia.week","Virginia.total_sequences","Virginia.20I..Alpha..V1.","Virginia.20H..Beta..V2.","Virginia.20J..Gamma..V3.","Virginia.21A..Delta.","Virginia.21I..Delta.","Virginia.21J..Delta.","Virginia.21K..Omicron.","Virginia.21L..Omicron.","Virginia.22A..Omicron.","Virginia.22B..Omicron.","Virginia.22C..Omicron.","Virginia.21B..Kappa.","Virginia.21D..Eta.","Virginia.21F..Iota.","Virginia.21G..Lambda.","Virginia.21H..Mu.","Virginia.20B.S.732A","Virginia.20E..EU1.","Virginia.21C..Epsilon.","Virginia.20A.S.439K","Virginia.S.677H.Robin1","Virginia.S.677P.Pelican","Virginia.20G.S.677H.Robin2","Virginia.20G.S.677H.Yellowhammer","Virginia.20G.S.677H.Quail","Virginia.20G.S.677H.Mockingbird"
"16","2020-11-23",76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"17","2020-12-07",130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"18","2020-12-21",311,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,9,0,1,2,0,0
"19","2021-01-11",272,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,4,7,2,2,1,0
"20","2021-01-25",399,13,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,16,1,8,7,2,1,0,0
"21","2021-02-08",426,17,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,0,40,0,15,6,7,1,0,0
"22","2021-02-22",400,78,9,0,0,0,0,0,0,0,0,0,0,6,1,0,0,3,0,47,0,13,1,7,0,0,1
"23","2021-03-08",607,261,15,0,0,0,0,0,0,0,0,0,0,7,20,0,1,12,1,44,0,3,3,13,1,0,3
"24","2021-03-22",835,508,23,8,0,0,0,0,0,0,0,0,0,16,61,3,0,12,0,39,0,1,1,8,1,0,0
"25","2021-04-05",821,603,20,12,2,1,0,0,0,0,0,0,2,18,65,1,1,4,0,7,0,0,1,2,0,0,0
"26","2021-04-19",648,496,7,15,7,1,6,0,0,0,0,0,5,12,49,0,3,0,0,2,0,1,1,0,0,0,0
"27","2021-05-03",542,409,8,20,6,2,2,0,0,0,0,0,0,7,36,2,4,5,0,1,0,0,0,1,0,0,0
"28","2021-05-17",465,331,2,32,12,6,8,0,0,0,0,0,0,5,44,2,2,3,0,0,0,0,0,0,0,0,0
"29","2021-05-31",261,169,1,23,12,4,14,0,0,0,0,0,0,1,23,0,4,0,0,0,0,0,0,0,0,0,0
"30","2021-06-14",228,98,0,12,11,11,63,0,0,0,0,0,0,1,9,1,5,0,0,0,0,0,0,0,0,0,0
"31","2021-06-28",400,60,0,25,18,42,229,0,0,0,0,0,0,0,8,0,2,1,0,0,0,0,0,0,0,0,0
"32","2021-07-12",936,20,0,23,39,144,684,0,0,0,0,0,0,1,1,3,10,0,0,0,0,0,0,0,0,0,0
"33","2021-07-26",2302,11,0,9,134,345,1785,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0
"34","2021-08-09",2220,2,0,3,65,290,1853,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
"35","2021-08-23",2547,0,0,4,57,215,2268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-06",2454,1,0,1,46,228,2172,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",1498,0,0,0,18,112,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
