"","Ohio.week","Ohio.total_sequences","Ohio.20I..Alpha..V1.","Ohio.20H..Beta..V2.","Ohio.20J..Gamma..V3.","Ohio.21A..Delta.","Ohio.21I..Delta.","Ohio.21J..Delta.","Ohio.21K..Omicron.","Ohio.21L..Omicron.","Ohio.22A..Omicron.","Ohio.22C..Omicron.","Ohio.21B..Kappa.","Ohio.21D..Eta.","Ohio.21F..Iota.","Ohio.21G..Lambda.","Ohio.21H..Mu.","Ohio.20B.S.732A","Ohio.20E..EU1.","Ohio.21C..Epsilon.","Ohio.20A.S.439K","Ohio.S.677H.Robin1","Ohio.S.677P.Pelican","Ohio.20G.S.677H.Robin2","Ohio.20G.S.677H.Yellowhammer","Ohio.20G.S.677H.Quail","Ohio.20G.S.677H.Mockingbird"
"29","2021-06-14",187,104,0,19,3,12,35,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0
"30","2021-06-28",183,20,0,4,14,29,109,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
"31","2021-07-12",502,27,0,7,23,91,338,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"32","2021-07-26",800,5,0,5,40,151,588,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0
"33","2021-08-09",1333,6,0,2,37,172,1111,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"34","2021-08-23",2785,1,0,0,41,261,2472,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"35","2021-09-06",3512,0,0,0,48,312,3143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-20",2479,0,0,0,28,186,2256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-10-04",2365,0,0,0,24,149,2188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-18",2089,0,0,0,13,96,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-11-01",2310,0,0,0,11,103,2183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-15",2352,0,0,0,8,110,2218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-29",2155,0,0,0,6,72,1984,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-12-13",2690,0,0,0,3,22,1152,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-27",2055,0,0,0,1,5,210,1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2022-01-10",1664,0,0,0,0,0,22,1628,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-24",1755,0,0,0,0,0,5,1731,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-02-07",1302,0,0,0,0,0,0,1274,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-21",785,0,0,0,0,0,3,706,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-03-07",355,0,0,0,0,0,0,263,87,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"49","2022-03-21",458,0,0,0,0,0,1,175,272,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-04-04",632,0,0,0,0,0,0,39,483,2,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-18",972,0,0,0,0,0,0,24,614,2,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-05-02",84,0,0,0,0,0,0,1,49,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
